Type,group,temp.C_mean,temp.C_sd,sal.psu_mean,sal.psu_sd,ph.nbs_mean,ph.nbs_sd,pH.total_mean,pH.total_sd,flow.L.min_mean,flow.L.min_sd,par.adj_mean,par.adj_sd
Basin 1,Ambient,26.8,NA,36.44,NA,8.08,NA,8.08289496427177,NA,NA,NA,NA,NA
Basin 2,Heated,30.3,NA,36.55,NA,8.01,NA,8.066999199035443,NA,NA,NA,NA,NA
Basin 3,Heated,29.299999999999997,1.5556349186104041,36.55,0.1697056274847728,8.055,0.10606601717798238,8.086595193838388,0.09923018846466339,NA,NA,114.99999999999999,NA
Basin 4,Ambient,28,0,36.715,0.09192388155425299,8.08,0.07071067811865576,8.112838792775651,0.06882375977931528,NA,NA,85.1,NA
Basin 5,Ambient,27.758333333333333,0.8129165598838132,36.666666666666664,0.24231209527209244,8.124166666666667,0.07633161305458679,8.14859851396621,0.05740139488598881,NA,NA,197.79999999999998,157.53111200648587
Basin 6,Ambient,28.4,NA,36.23,NA,8.17,NA,8.195108524266606,NA,NA,NA,141.45,NA
Basin 6,Heated,29.827272727272728,0.773422147460116,36.61818181818182,0.2913011562564826,8.159090909090908,0.07245061013608439,8.193370539404375,0.07050190146210551,NA,NA,181.26874999999998,195.28238150633487
Squarical 1,Ambient,27.46666666666667,0.290245455162392,36.63,0.15695975164469378,8.065,0.06445576354792047,8.085261284053496,0.05054867960379642,0.55725,0.0685935232261139,262.6928571428571,187.51449372553273
Squarical 10,Heated,30.05,0.3503966006938101,36.691,0.1712989589382647,8.068,0.03938414796731176,8.103003126352283,0.04095579907499368,0.577,0.029003448070875976,276.82142857142856,205.6000544283789
Squarical 11,Heated,30.05,0.3503966006938101,36.686,0.17833800616930978,8.057,0.04498147766951806,8.104983980134985,0.04415433595981978,0.596,0.04595650117230423,244.62142857142857,181.41071003192096
Squarical 12,Heated,30.04,0.3438345855527361,36.712,0.18035766933759348,8.066,0.044020197384584486,8.103174449382694,0.04236766250516434,0.599,0.03402939905434714,252.67142857142855,108.25630796533619
Squarical 13,Ambient,27.89,0.8047774019358805,36.657,0.28844602807303643,8.078,0.030840089349921298,8.102285228044796,0.02935393565151346,0.625,0.03987480407475381,265.9785714285714,259.60955114867994
Squarical 14,Ambient,27.92,0.7885288693369299,36.675,0.216345916429121,8.08,0.04163331998932281,8.108435202767179,0.04106267369270154,0.613,0.056338264084013115,219.9785714285714,154.25970757444205
Squarical 15,Ambient,27.9,0.7972173828734261,36.668,0.21622005251851897,8.081,0.031780497164141414,8.108201177430454,0.028454546653496247,0.558,0.04844791017164722,235.74999999999997,200.29157496010657
Squarical 16,Ambient,27.88,0.7871185143010898,36.681,0.21480999356020053,8.081,0.028460498941515217,8.108484156205709,0.03158710778822382,0.622,0.04321110968258051,197.30714285714285,155.258315473953
Squarical 2,Ambient,27.525,0.37446932147677026,36.69083333333333,0.17031832941094044,8.07,0.03411211461689766,8.09005346683048,0.03224211978300287,0.5865,0.016274432182326465,241.99285714285713,115.87994300342139
Squarical 3,Ambient,27.475,0.2598076211353321,36.55166666666667,0.3021689272676131,8.0825,0.044746762198764,8.10203042603787,0.04263006371886597,0.615,0.027774602993176568,333.00714285714287,209.6576026695499
Squarical 4,Ambient,27.433333333333334,0.2806917861068948,36.63166666666667,0.18239982721948328,8.086666666666666,0.04754583115906222,8.10707702401417,0.04663655791410432,0.55575,0.045461914987005476,324.95714285714286,200.85736528809738
Squarical 5,Heated,30.083333333333332,0.3270622218625944,36.8075,0.23958771405744678,8.061666666666667,0.04217567875906554,8.108174735168967,0.03978226653756829,0.57525,0.03214142853968111,252.0142857142857,198.88398987493042
Squarical 6,Heated,30.116666666666667,0.3040135563165604,36.725,0.23228117757266808,8.060833333333333,0.04944387696871044,8.103266760961716,0.04437246878782202,0.5685,0.039507684605113745,228.68571428571428,191.41130607996513
Squarical 7,Heated,30.091666666666665,0.32879486097878824,36.74916666666667,0.29143713912369923,8.058333333333334,0.03688639397672374,8.10226625019296,0.03502257409744534,0.5745,0.0321913919283667,222.60714285714283,155.4328376624757
Squarical 8,Heated,30.108333333333334,0.3260182184907448,36.733333333333334,0.21835472946283413,8.065833333333334,0.04187825066532611,8.102298121749802,0.04027889509920141,0.5835,0.026202508058799028,280.92857142857144,238.8742344434669
Squarical 9,Heated,30.03,0.32676869155073224,36.707,0.1837298741812742,8.064,0.04376706016578628,8.102465528851749,0.03552329824863641,0.594,0.014696938456699081,259.40714285714284,168.5758494678568
